ClientName,bid,cid,pred_date,dailylimit_date_before,ml_pred_spd,adjusted_spd
Ace Adventure Resort,1827,4480,2018-08-11,1.25,1.23,0.8925
Gymboree,1878,3457,2018-08-11,27.5,38.88,38.0665
Barbell Apparel,1641,1410,2018-08-11,8.0,13.03,12.36
Verb Products,1600,3971,2018-08-11,12.5,11.49,13.7423
Verb Products,1600,3972,2018-08-11,13.75,11.53,13.7823
Barbell Apparel,1641,1413,2018-08-11,32.5,42.42,34.5945
Vincero Collective,1864,2502,2018-08-11,160.25,164.18,166.16
ICEMULE Coolers,1802,2797,2018-08-11,3.25,3.74,-0.625625
Threadbeast,1897,3986,2018-08-11,56.25,56.59,61.6683
FabFitFun,1840,2451,2018-08-11,333.5,220.81,258.011
Gaia,1751,1941,2018-08-11,135.5,109.88,124.552
Gaia,1751,1942,2018-08-11,26.0,23.01,37.6821
OHMConnect,2088,3992,2018-08-11,25.0,15.52,23.495
OHMConnect,2088,3993,2018-08-11,12.5,6.03,14.005
Gobble,1841,4508,2018-08-11,5.0,4.31,11.045
Brian Gavin Diamonds,1538,925,2018-08-11,3.75,5.49,0.450966
Brian Gavin Diamonds,1538,926,2018-08-11,6.09,10.64,7.27797
Aurate,1935,3056,2018-08-11,100.0,83.82,106.883
weboost,1757,1954,2018-08-11,17.5,8.09,10.2512
weboost,1757,1955,2018-08-11,9.95461,7.09,9.25115
Great Value Vacations,2132,4333,2018-08-11,21.75,11.67,10.5263
Biossance,2068,3910,2018-08-11,28.75,34.18,36.025
Nanit,1941,4008,2018-08-11,20.0,6.97,6.47
Gobble,1841,4362,2018-08-11,70.0,51.8,58.535
Brian Gavin Diamonds,1538,1967,2018-08-11,1.25,2.7,0.611067
Ace Adventure Resort,1827,4481,2018-08-11,4.25,4.44,4.1025
My Organized Life,2024,3506,2018-08-11,6.75,7.77,6.77
My Organized Life,2024,3509,2018-08-11,4.5,10.98,9.98
My Organized Life,2024,3510,2018-08-11,9.5,1.65,4.0
Brian Gavin Diamonds,1538,954,2018-08-11,1.25,1.52,4.0
Vuori,1801,2379,2018-08-11,79.0,89.88,89.88
prAna,1882,4036,2018-08-11,26.25,24.02,25.237
Teri Jon,1630,1477,2018-08-11,1.98118,1.96,4.0
weboost,1757,1990,2018-08-11,10.0,12.44,14.6012
