cid,bid,value
736,1421,0.75
735,1420,0.75
734,1419,0.75
733,1418,0.75
732,1368,
731,1417,0.75
730,1416,0.75
729,1415,0.75
728,1414,0.75
727,1413,0.75
726,1412,0.75
725,1411,0.75
724,1410,0.75
723,1409,0.75
722,1408,0.75
721,1407,0.75
720,1405,0.75
719,1404,0.75
718,1403,0.75
717,1402,0.75
716,1248,0.75
715,1312,0.75
714,1401,0.75
713,1400,0.75
712,1398,0.75
711,1397,0.75
710,1391,0.75
709,1387,0.75
708,1385,0.75
703,1368,0.75
702,1368,0.75
701,967,0.75
700,1361,0.5
699,1361,0.5
698,1361,0.5
697,1361,0.5
696,1347,0.75
695,1347,0.75
694,1347,0.75
693,1347,0.75
692,1287,0.75
691,1287,0.75
690,906,0.75
689,906,0.75
688,21,0.75
687,21,0.75
685,1350,0.75
684,21,0.75
683,1346,0.75
682,1345,0.75
681,906,0.75
680,1248,
679,1248,
678,1248,
677,1248,
676,1251,0.6
675,1251,0.6
673,21,0.75
672,1269,
671,1269,
670,1269,
669,1185,
668,1185,
667,1076,0.75
666,1076,0.75
665,1076,0.75
664,1076,0.75
663,871,0.75
662,871,0.75
661,906,
660,1078,0.75
659,906,0.75
658,1273,7.0
657,1291,0.75
656,1185,
655,1185,
654,1185,
653,254,0.75
652,867,
651,867,
650,867,
649,867,
648,867,0.75
647,131,0.75
646,867,0.75
645,867,0.75
644,1286,0.75
643,1286,0.75
642,1286,
641,1286,0.75
640,131,0.75
639,131,0.75
638,131,0.75
637,1312,0.75
636,1312,0.75
635,948,0.75
627,1287,0.75
626,1287,0.75
625,1287,0.75
624,1287,0.75
623,1185,
622,1185,
621,1015,0.75
620,867,0.75
612,1309,0.75
611,1309,0.75
610,1309,0.75
609,1311,0.75
608,1311,
607,1311,0.75
606,1185,
605,1185,
604,1185,
603,1185,
602,1185,
601,1185,
600,1185,
599,1185,
598,1318,10.0
597,1318,10.0
596,1318,10.0
595,1185,
594,1185,
593,1185,
592,1185,
591,867,0.75
590,867,0.75
589,867,0.75
588,1267,0.75
587,1319,10.0
586,1235,0.5
585,1248,0.75
584,1248,0.75
583,1277,10.0
582,1312,0.75
581,131,0.75
580,1045,
579,1171,0.75
578,1285,0.75
577,1301,0.75
576,1301,0.75
575,1308,
574,1306,
